	item_type	clean_name	brand	country	subtype	source_domain	weight	units	price	currency	description	full_description	characteristics	additional_info	url	master_name	filter_name
0	malt	солод курский овсяный голозерный	 грейнрус	ru		grainrus	5.0	кг	619.0	rub	солод овсяный специальный российский, овсяный голозерный, курский солод, мешок 5 кг		['max 15 ebc', 'мешок 5 кг']		https://malt.ru/catalog/solod/ovsyanyy-golozernyy-solod-5/	голозерный овсяный 	голозерный овсяный 
1	malt	солод курский овсяный голозерный	 грейнрус	ru		grainrus	1.0	кг	140.0	rub	солод овсяный специальный российский, овсяный голозерный, курский солод, мешок 1 кг		['max 15 ebc', 'мешок 1 кг']		https://malt.ru/catalog/solod/ovsyanyy-golozernyy-solod/	голозерный овсяный 	голозерный овсяный 
2	malt	солод курский копченый на буке	 ностерс	ru		grainrus	25.0	кг	3251.0	rub	солод ячменный специальный российский, копченый, ностерс, мешок 25 кг		['3.4 - 4.6 ebc', 'мешок 25 кг']		https://malt.ru/catalog/solod/solod-yachmennyy-spetsialnyy-rossiyskiy-kopchenyy-nosters-meshok-25-kg/	smoked буке курский на 	smoked буке курский на 
3	malt	солод курский висковый	 грейнрус	ru		grainrus	25.0	кг	2996.0	rub	солод ячменный светлый российский, висковый, курский солод, мешок 25 кг		['3.5-4.5 ebc', 'мешок 25 кг']		https://malt.ru/catalog/solod/solod-yachmennyy-svetlyy-rossiyskiy-viskovyy-kurskiy-solod-meshok-25-kg/	висковый 	висковый 
4	malt	ячмень жженый 900 (курский солод)	 грейнрус	ru	солод жженый > 500 ebc	beer.rf	1.0	кг	154.08	rub	используется для темных сортов пива, придает глубокий насыщенный темный цвет пиву, а также привносит в аромат нотки кофе, поджаренных орехов. цвет: 900 ebc используется для темных сортов пива, придает глубокий насыщенный темный цвет пиву, а также привносит в аромат нотки кофе, поджаренных орехов. цвет: 900 ebc	ячмень жженый 900 - используется для приготовления темных сортов пива, который придает возможность удивить насыщенным темным оттенком и уникальным ароматом. его применение позволяет напитку получить глубокий и насыщенный темный цвет, а также внести в гамму ароматов приятные ноты кофе и поджаренных орехов. не следует забывать, что его цвет составляет 900 ebc и он готовится с применением метода обжаривания при контролируемой температуре, не превышающей 220°с. благодаря этому процессу солод обретает насыщенный оттенок темного шоколада, который в дальнейшем придает неповторимый аромат пиву, напоминающий кофе с орехами. стоит также отметить, что данный вид солода находит применение в приготовлении различных темных, крепких и черных сортов пива, таких как портер, коричневый эль или стаут.	['доля в засыпи: до 5%', 'влажность: макс. 5.0%', 'экстрактивность: мин. 70 % дм', 'цвет: 900 ebc']	хранить при температуре не более 20°с и влажности не выше 40%. срок хранения - 1 год. все рецепты с ингредиентом	https://биp.pф/shop/1641/desc/jachmen-zhzhenyj-900-kurskij-solod-1-kg	900 barley жженый 	900 barley жженый 
5	malt	солод курский пшеничный темный	 грейнрус	ru		grainrus	25.0	кг	2486.0	rub	солод пшеничный специальный российский, темный, курский солод, мешок 25 кг		['400-1000 ebc', 'мешок 25 кг']		https://malt.ru/catalog/solod/solod-pshenichnyy-spetsialnyy-rossiyskiy-temnyy-kurskiy-solod-meshok-25-kg/	wheat темный	wheat темный
6	malt	ячмень жженый / roasted barley (weyermann)	 weyermann	us	солод жженый > 500 ebc	beer.rf	0.25	кг	74.25	rub	несоложенное зерно ячменя имеет насыщенный жареный аромат. отлично подходит для стаутов и других темных сортов пива. цвет: 1000 - 1300 ebc несоложенное зерно ячменя имеет насыщенный жареный аромат. отлично подходит для стаутов и других темных сортов пива. цвет: 1000 - 1300 ebc	weyermann ® roasted barley произведен из качественного ярового ячменя. медленно и тщательно обжаривается в барабанном аппарате. в результате получается равномерно обжаренное специальное зерно. придает много темного цвета и чистую глубину аромата очень темным напиткам. аромат: типичный жареный аромат; ноты кофе и какао. стили пива: ирландский сухой стаут, имперский стаут, различные портеры и стауты.	['характеристики:', 'цветность:', '410 l°', '(1093.2 ebc)', 'экстракт на с.в.:', '64 %', 'белок:', '13.2 %', 'закладка:', 'до 5 %']	все рецепты с ингредиентом	https://биp.pф/shop/722/desc/jachmen-zhzhenyj-roasted-barley-weyermann-250-g	barley roasted жженый	barley roasted жженый
7	malt	солод курский висковый	 грейнрус	ru		grainrus	5.0	кг	687.0	rub	солод ячменный светлый российский, висковый, курский солод, мешок 5 кг		['3.5-4.5 ebc', 'мешок 5 кг']		https://malt.ru/catalog/solod/solod-yachmennyy-svetlyy-rossiyskiy-viskovyy-kurskiy-solod-meshok-5-kg/	висковый 	висковый 
8	malt	солод курский копченый на буке	 ностерс	ru		grainrus	5.0	кг	746.0	rub	солод ячменный специальный российский, копченый, ностерс, мешок 5 кг		['3.4 - 4.6 ebc', 'мешок 5 кг']		https://malt.ru/catalog/solod/solod-yachmennyy-spetsialnyy-rossiyskiy-kopchenyy-nosters-meshok-5-kg/	smoked буке курский на 	smoked буке курский на 
9	malt	солод шато дистиллинг / distilling (castle malting)	 castle malting	us	солод вискарный	beer.rf	5.0	кг	1165.5	rub	солод предназначен для производства виски и других крепких спиртных напитков премиального качества. дает высокую бродильную активность, соответствующую ферментативность и уровень растворимого азота. цвет: 2,5-4 ebc солод предназначен для производства виски и других крепких спиртных напитков премиального качества. дает высокую бродильную активность, соответствующую ферментативность и уровень растворимого азота. цвет: 2,5-4 ebc	"солод шато дистиллинг («дистилляционный») предназначен для создания премиальных виски и других крепких алкогольных напитков. он обладает высокой бродильной активностью, отвечающей требуемому уровню ферментации и растворимого азота. цвет солода составляет 2,5-4 ebc. в процессе его производства ячмень подвергается дополнительному замачиванию, чтобы достичь повышенной влажности зерна в диапазоне 44-46%. затем солод проращивается в течение пяти дней при температуре 12°c-16°c. после этого происходит обсушка при температуре 50°-60°c, с последующим повышением до 70°-75°c. свойства солода шато дистиллинг делают его идеальным базовым компонентом для создания виски высшего качества. он также может использоваться в качестве основы для приготовления браги с содержанием до 100%."""	['массовая доля экстракта в сухом веществе - 80%', 'цветность - 2,5-4 ebc', 'число кольбаха - 35-40%', 'содержание фенолов - 0 ppm', 'массовая доля экстракта в сухом веществе - 80%', 'цветность - 2,5-4 ebc', 'число кольбаха - 35-40%', 'содержание фенолов - 0 ppm']	все рецепты с ингредиентом все рецепты с ингредиентом	https://биp.pф/shop/73/desc/solod-shato-distilling-distilling-castle-malting-5-kg	 distilling 	 distilling 
