	item_type	clean_name	brand	country	subtype	source_domain	weight	units	price	currency	description	full_description	url	alpha	beta	cohumulon	oils
11	hop	циндао флауэр / tsingtao flower		хмель в гранулах универсальный	500 г	beer.rf	500.0	г	754.0	rub	самый востребованный и популярный универсальный сорт хмеля из поднебесной. по характеристикам похож на американский хмель каскад. урожай 2024 | альфа кислота 6,5 % самый востребованный и популярный универсальный сорт хмеля из поднебесной. по характеристикам похож на американский хмель каскад. урожай 2024 | альфа кислота 6,5 %	хмель циндао флауэр (tsingtao flower) - является гордостью народной республики китай и главным хмелевым сортом, представленным на рынке. этот сорт занимает до 90% общего производства хмеля в регионе и привлекает внимание своим уникальным ароматом и вкусом. в аромате циндао флауэр преобладают ягодные ноты, особенно черная смородина, которая придает пиву освежающий и фруктовый оттенок. но это только начало - в этом хмеле также можно обнаружить древесно-пряные нюансы табака, нотки чая и даже аромат жасмина. это сочетание создает уникальный ароматный букет, который привлекает пиволюбов со всего мира. однако аромат - это только одна сторона циндао флауэр. вкусовой профиль этого сорта характеризуется яркими цитрусовыми нотами грейпфрута и апельсина, которые придают пиву освежающую кислинку и легкость. дополнительно, в этом хмеле можно найти ароматы зеленого чая улун, который придает напитку некую глубину и сложность во вкусе, а сладкая дыня и сочная клубника придадут ощущения нежности и легкой сладости.	https://бир.рф/shop/1567/desc/khmel-cindao-flauehr-tsingtao-flower-kitaj-500-g	6.0-8.0 %	3.0-4.5 %		0.4-0.8
13	hop	циндао флауэр / tsingtao flower		хмель в гранулах универсальный	50 г	beer.rf	50.0	г	105.0	rub	самый востребованный и популярный универсальный сорт хмеля из поднебесной. по характеристикам похож на американский хмель каскад. урожай 2024 | альфа кислота 6,5 % самый востребованный и популярный универсальный сорт хмеля из поднебесной. по характеристикам похож на американский хмель каскад. урожай 2024 | альфа кислота 6,5 %	хмель циндао флауэр (tsingtao flower) - является гордостью народной республики китай и главным хмелевым сортом, представленным на рынке. этот сорт занимает до 90% общего производства хмеля в регионе и привлекает внимание своим уникальным ароматом и вкусом. в аромате циндао флауэр преобладают ягодные ноты, особенно черная смородина, которая придает пиву освежающий и фруктовый оттенок. но это только начало - в этом хмеле также можно обнаружить древесно-пряные нюансы табака, нотки чая и даже аромат жасмина. это сочетание создает уникальный ароматный букет, который привлекает пиволюбов со всего мира. однако аромат - это только одна сторона циндао флауэр. вкусовой профиль этого сорта характеризуется яркими цитрусовыми нотами грейпфрута и апельсина, которые придают пиву освежающую кислинку и легкость. дополнительно, в этом хмеле можно найти ароматы зеленого чая улун, который придает напитку некую глубину и сложность во вкусе, а сладкая дыня и сочная клубника придадут ощущения нежности и легкой сладости.	https://бир.рф/shop/1565/desc/khmel-cindao-flauehr-tsingtao-flower-kitaj-50-g	6.0-8.0 %	3.0-4.5 %		0.4-0.8
15	hop	истринский	агроресурсы	россия	хмель в гранулах ароматный	beer.rf	50.0	г	121.98	rub	ароматный сорт хмеля, который обладает нежным хмелевым привкусом и ярко выраженным сложным ароматом. урожай 2023 г | альфа-кислота 4,2 % ароматный сорт хмеля, который обладает нежным хмелевым привкусом и ярко выраженным сложным ароматом. урожай 2023 г | альфа-кислота 4,2 %	хмель истринский - это ароматный сорт хмеля обладающий нежным хмелевым привкусом и ароматом, которые добавляют особый шарм и характер пиву. в составе истринского хмеля содержится множество горьких веществ и ароматических компонентов, что делает его востребованным в пивоварении. этот сорт хмеля является универсальным и подходит для охмеления различных сортов пива. благодаря своей многогранности и богатому ароматическому профилю, истринский хмель может использоваться как для производства легких светлых сортов пива, так и для создания более насыщенных и крепких сортов, таких как бельгийские эли или стауты. альфа-кислота, которая является мерой горечи в хмеле, составляет 4,5%. это означает, что истринский хмель обладает низкой горечью, что делает его более привлекательным для пивоваров, как ароматический компонент пива.	https://бир.рф/shop/947/desc/khmel-istrinskij-rossija-50-g	4.0-4.5 %			
17	hop	шпальтер селект / spalter select	ign	германия	хмель в гранулах ароматный	beer.rf	50.0	г	153.0	rub	ароматный хмель с мягкими, слегка пряными нотками. он также сопоставим с жатецким хмелем и идеально подходит для лагеров, пильзнеров, и других сортов пива в немецком стиле. урожай 2025 | альфа кислота 4,4 % ароматный хмель с мягкими, слегка пряными нотками. он также сопоставим с жатецким хмелем и идеально подходит для лагеров, пильзнеров, и других сортов пива в немецком стиле. урожай 2025 | альфа кислота 4,4 %	хмель шпальтер селект (spalter select) - это замечательный сорт хмеля, который был разработан в нии хмеля в халле путем скрещивания хмелей шпальт и халлертаур мителльфрю. его появление пришлось на конец 1980-х годов, когда было решено создать новый сорт, который мог бы заменить популярный шпальт и обладал бы более высокими характеристиками. шпальтер селект относится к благородным сортам хмеля, так как содержит низкое количество когумулона. его уровень альфа-кислоты составляет примерно от 3,5% до 5,5%, при это обладает мягким ароматом, который напоминает шпальт, но с некоторой специфичностью. это делает его идеальным выбором для различных немецких стилей пива, таких как лагеры, пильзнеры и другие. хмель шпальтер селект (spalter select) - это замечательный сорт хмеля, который был разработан в нии хмеля в халле путем скрещивания хмелей шпальт и халлертаур мителльфрю. его появление пришлось на конец 1980-х годов, когда было решено создать новый сорт, который мог бы заменить популярный шпальт и обладал бы более высокими характеристиками. шпальтер селект относится к благородным сортам хмеля, так как содержит низкое количество когумулона. его уровень альфа-кислоты составляет примерно от 3,5% до 5,5%, при это обладает мягким ароматом, который напоминает шпальт, но с некоторой специфичностью. это делает его идеальным выбором для различных немецких стилей пива, таких как лагеры, пильзнеры и другие. хмель шпальтер селект также сравнивают с другим популярным немецким сортом хмеля - жатецким. оба сорта обладают схожими характеристиками и широко используются в немецком стиле пивоварения. это открывает возможности для экспериментов и создания новых вкусовых комбинаций.	https://бир.рф/shop/145/desc/khmel-shpalter-selekt-spalter-select-germanija-50-g	3.0-6.5 %	2.5-5.0 %	21.0-27.0 %	0.6-0.9
77	hop	шпальтер селект / spalter select	ign	германия	хмель в гранулах ароматный	beer.rf	100.0	г	265.0	rub	ароматный хмель с мягкими, слегка пряными нотками. он также сопоставим с жатецким хмелем и идеально подходит для лагеров, пильзнеров, и других сортов пива в немецком стиле. урожай 2024 | альфа кислота 6 % ароматный хмель с мягкими, слегка пряными нотками. он также сопоставим с жатецким хмелем и идеально подходит для лагеров, пильзнеров, и других сортов пива в немецком стиле. урожай 2024 | альфа кислота 6 %	хмель шпальтер селект (spalter select) - это замечательный сорт хмеля, который был разработан в нии хмеля в халле путем скрещивания хмелей шпальт и халлертаур мителльфрю. его появление пришлось на конец 1980-х годов, когда было решено создать новый сорт, который мог бы заменить популярный шпальт и обладал бы более высокими характеристиками. шпальтер селект относится к благородным сортам хмеля, так как содержит низкое количество когумулона. его уровень альфа-кислоты составляет примерно от 3,5% до 5,5%, при это обладает мягким ароматом, который напоминает шпальт, но с некоторой специфичностью. это делает его идеальным выбором для различных немецких стилей пива, таких как лагеры, пильзнеры и другие. хмель шпальтер селект (spalter select) - это замечательный сорт хмеля, который был разработан в нии хмеля в халле путем скрещивания хмелей шпальт и халлертаур мителльфрю. его появление пришлось на конец 1980-х годов, когда было решено создать новый сорт, который мог бы заменить популярный шпальт и обладал бы более высокими характеристиками. шпальтер селект относится к благородным сортам хмеля, так как содержит низкое количество когумулона. его уровень альфа-кислоты составляет примерно от 3,5% до 5,5%, при это обладает мягким ароматом, который напоминает шпальт, но с некоторой специфичностью. это делает его идеальным выбором для различных немецких стилей пива, таких как лагеры, пильзнеры и другие. хмель шпальтер селект также сравнивают с другим популярным немецким сортом хмеля - жатецким. оба сорта обладают схожими характеристиками и широко используются в немецком стиле пивоварения. это открывает возможности для экспериментов и создания новых вкусовых комбинаций.	https://бир.рф/shop/146/desc/khmel-shpalter-selekt-spalter-select-germanija-100-g	3.0-6.5 %	2.5-5.0 %	21.0-27.0 %	0.6-0.9
80	hop	чинук / chinook	cls yakima valley	сша	хмель в гранулах универсальный	beer.rf	500.0	г	1366.0	rub	популярный хмель двойного назначение, как для придания пряного и соснового ароматов, что очень ценится в темных сортах пива, так и для хорошего потенциала горечи. урожай 2024 | альфа 11 % популярный хмель двойного назначение, как для придания пряного и соснового ароматов, что очень ценится в темных сортах пива, так и для хорошего потенциала горечи. урожай 2024 | альфа 11 %	хмель чинук (chinook) был высажен в 1980 году, а уже в 1985 году министерство сельского хозяйства сша представило его в свет. этот сорт хмеля был создан путем скрещивания хмеля петхам голдинг и usda 63102, и он сразу же завоевал сердца крафтовых пивоваров в сша. хмель чинук обладает содержанием альфа-кислот в диапазоне от 12% до 14%, что делает его отличным выбором для добавления в начале или середине кипячения пива. этот сорт хмеля пользуется популярностью в американских стилях пива, таких как американ пэйл эль и индиан пэйл эль. он также широко используется в сезонных элях и темных сортах пива, включая портеры, стауты и ячменные вина (барливайны). аромат хмеля чинук характеризуется агрессивностью и некоторыми пряными нотками. свежая партия пива с этим хмелем будет иметь ярко выраженные хвойные и травяные ароматы. чинук является сортом средней урожайности, и его шишки имеют среднюю компактность. он обладает достаточной устойчивостью к обычным болезням, но может быть восприимчив к мучнистой росе. хмель чинук широко применяется в сша и является одним из ключевых компонентов некоторых очень популярных коммерческих брендов пива. с точки зрения агрономии, чинук характеризуется устойчивостью к ложной мучнистой росе и обладает отличной способностью формировать большие конусовидные шишки. хмель чинук обладает множеством качеств, таких как придание пиву пряного и хвойного аромата, а также обеспечение хорошего потенциала горечи. хмель чинук (chinook) был высажен в 1980 году, а уже в 1985 году министерство сельского хозяйства сша представило его в свет. этот сорт хмеля был создан путем скрещивания хмеля петхам голдинг и usda 63102, и он сразу же завоевал сердца крафтовых пивоваров в сша. хмель чинук обладает содержанием альфа-кислот в диапазоне от 12% до 14%, что делает его отличным выбором для добавления в начале или середине кипячения пива. этот сорт хмеля пользуется популярностью в американских стилях пива, таких как американ пэйл эль и индиан пэйл эль. он также широко используется в сезонных элях и темных сортах пива, включая портеры, стауты и ячменные вина (барливайны). аромат хмеля чинук характеризуется агрессивностью и некоторыми пряными нотками. свежая партия пива с этим хмелем будет иметь ярко выраженные хвойные и травяные ароматы. чинук является сортом средней урожайности, и его шишки имеют среднюю компактность. он обладает достаточной устойчивостью к обычным болезням, но может быть восприимчив к мучнистой росе. хмель чинук широко применяется в сша и является одним из ключевых компонентов некоторых очень популярных коммерческих брендов пива. с точки зрения агрономии, чинук характеризуется устойчивостью к ложной мучнистой росе и обладает отличной способностью формировать большие конусовидные шишки. хмель чинук обладает множеством качеств, таких как придание пиву пряного и хвойного аромата, а также обеспечение хорошего потенциала горечи. хмель чинук, благодаря своим уникальным свойствам и вкусовым характеристикам, продолжает быть популярным выбором для пивоваров во всем мире. его вклад в разнообразие и качество пива не может быть недооценен, и он остается одним из наиболее востребованных сортов хмеля на рынке.	https://бир.рф/shop/220/desc/khmel-chinuk-chinook-ssha-500-g	11.5-15.3 %	3.4-3.7 %	28.0-35.0 %	1.0-2.5
82	hop	чинук / chinook	cls yakima valley	сша	хмель в гранулах универсальный	beer.rf	50.0	г	193.0	rub	популярный хмель двойного назначение, как для придания пряного и соснового ароматов, что очень ценится в темных сортах пива, так и для хорошего потенциала горечи. урожай 2025 | альфа 12,5 % популярный хмель двойного назначение, как для придания пряного и соснового ароматов, что очень ценится в темных сортах пива, так и для хорошего потенциала горечи. урожай 2025 | альфа 12,5 %	хмель чинук (chinook) был высажен в 1980 году, а уже в 1985 году министерство сельского хозяйства сша представило его в свет. этот сорт хмеля был создан путем скрещивания хмеля петхам голдинг и usda 63102, и он сразу же завоевал сердца крафтовых пивоваров в сша. хмель чинук обладает содержанием альфа-кислот в диапазоне от 12% до 14%, что делает его отличным выбором для добавления в начале или середине кипячения пива. этот сорт хмеля пользуется популярностью в американских стилях пива, таких как американ пэйл эль и индиан пэйл эль. он также широко используется в сезонных элях и темных сортах пива, включая портеры, стауты и ячменные вина (барливайны). аромат хмеля чинук характеризуется агрессивностью и некоторыми пряными нотками. свежая партия пива с этим хмелем будет иметь ярко выраженные хвойные и травяные ароматы. чинук является сортом средней урожайности, и его шишки имеют среднюю компактность. он обладает достаточной устойчивостью к обычным болезням, но может быть восприимчив к мучнистой росе. хмель чинук широко применяется в сша и является одним из ключевых компонентов некоторых очень популярных коммерческих брендов пива. с точки зрения агрономии, чинук характеризуется устойчивостью к ложной мучнистой росе и обладает отличной способностью формировать большие конусовидные шишки. хмель чинук обладает множеством качеств, таких как придание пиву пряного и хвойного аромата, а также обеспечение хорошего потенциала горечи. хмель чинук (chinook) был высажен в 1980 году, а уже в 1985 году министерство сельского хозяйства сша представило его в свет. этот сорт хмеля был создан путем скрещивания хмеля петхам голдинг и usda 63102, и он сразу же завоевал сердца крафтовых пивоваров в сша. хмель чинук обладает содержанием альфа-кислот в диапазоне от 12% до 14%, что делает его отличным выбором для добавления в начале или середине кипячения пива. этот сорт хмеля пользуется популярностью в американских стилях пива, таких как американ пэйл эль и индиан пэйл эль. он также широко используется в сезонных элях и темных сортах пива, включая портеры, стауты и ячменные вина (барливайны). аромат хмеля чинук характеризуется агрессивностью и некоторыми пряными нотками. свежая партия пива с этим хмелем будет иметь ярко выраженные хвойные и травяные ароматы. чинук является сортом средней урожайности, и его шишки имеют среднюю компактность. он обладает достаточной устойчивостью к обычным болезням, но может быть восприимчив к мучнистой росе. хмель чинук широко применяется в сша и является одним из ключевых компонентов некоторых очень популярных коммерческих брендов пива. с точки зрения агрономии, чинук характеризуется устойчивостью к ложной мучнистой росе и обладает отличной способностью формировать большие конусовидные шишки. хмель чинук обладает множеством качеств, таких как придание пиву пряного и хвойного аромата, а также обеспечение хорошего потенциала горечи. хмель чинук, благодаря своим уникальным свойствам и вкусовым характеристикам, продолжает быть популярным выбором для пивоваров во всем мире. его вклад в разнообразие и качество пива не может быть недооценен, и он остается одним из наиболее востребованных сортов хмеля на рынке.	https://бир.рф/shop/222/desc/khmel-chinuk-chinook-ssha-50-g	11.5-15.3 %	3.4-3.7 %	28.0-35.0 %	1.0-2.5
84	hop	чинук / chinook	cls yakima valley	сша	хмель в гранулах универсальный	beer.rf	100.0	г	323.0	rub	популярный хмель двойного назначения, как для придания пряного и соснового ароматов, что очень ценится в темных сортах пива, так и для хорошего потенциала горечи. урожай 2025 | альфа 12,5 % популярный хмель двойного назначения, как для придания пряного и соснового ароматов, что очень ценится в темных сортах пива, так и для хорошего потенциала горечи. урожай 2025 | альфа 12,5 %	хмель чинук (chinook) был высажен в 1980 году, а уже в 1985 году министерство сельского хозяйства сша представило его в свет. этот сорт хмеля был создан путем скрещивания хмеля петхам голдинг и usda 63102, и он сразу же завоевал сердца крафтовых пивоваров в сша. хмель чинук обладает содержанием альфа-кислот в диапазоне от 12% до 14%, что делает его отличным выбором для добавления в начале или середине кипячения пива. этот сорт хмеля пользуется популярностью в американских стилях пива, таких как американ пэйл эль и индиан пэйл эль. он также широко используется в сезонных элях и темных сортах пива, включая портеры, стауты и ячменные вина (барливайны). аромат хмеля чинук характеризуется агрессивностью и некоторыми пряными нотками. свежая партия пива с этим хмелем будет иметь ярко выраженные хвойные и травяные ароматы. чинук является сортом средней урожайности, и его шишки имеют среднюю компактность. он обладает достаточной устойчивостью к обычным болезням, но может быть восприимчив к мучнистой росе. хмель чинук широко применяется в сша и является одним из ключевых компонентов некоторых очень популярных коммерческих брендов пива. с точки зрения агрономии, чинук характеризуется устойчивостью к ложной мучнистой росе и обладает отличной способностью формировать большие конусовидные шишки. хмель чинук обладает множеством качеств, таких как придание пиву пряного и хвойного аромата, а также обеспечение хорошего потенциала горечи. хмель чинук (chinook) был высажен в 1980 году, а уже в 1985 году министерство сельского хозяйства сша представило его в свет. этот сорт хмеля был создан путем скрещивания хмеля петхам голдинг и usda 63102, и он сразу же завоевал сердца крафтовых пивоваров в сша. хмель чинук обладает содержанием альфа-кислот в диапазоне от 12% до 14%, что делает его отличным выбором для добавления в начале или середине кипячения пива. этот сорт хмеля пользуется популярностью в американских стилях пива, таких как американ пэйл эль и индиан пэйл эль. он также широко используется в сезонных элях и темных сортах пива, включая портеры, стауты и ячменные вина (барливайны). аромат хмеля чинук характеризуется агрессивностью и некоторыми пряными нотками. свежая партия пива с этим хмелем будет иметь ярко выраженные хвойные и травяные ароматы. чинук является сортом средней урожайности, и его шишки имеют среднюю компактность. он обладает достаточной устойчивостью к обычным болезням, но может быть восприимчив к мучнистой росе. хмель чинук широко применяется в сша и является одним из ключевых компонентов некоторых очень популярных коммерческих брендов пива. с точки зрения агрономии, чинук характеризуется устойчивостью к ложной мучнистой росе и обладает отличной способностью формировать большие конусовидные шишки. хмель чинук обладает множеством качеств, таких как придание пиву пряного и хвойного аромата, а также обеспечение хорошего потенциала горечи. хмель чинук, благодаря своим уникальным свойствам и вкусовым характеристикам, продолжает быть популярным выбором для пивоваров во всем мире. его вклад в разнообразие и качество пива не может быть недооценен, и он остается одним из наиболее востребованных сортов хмеля на рынке.	https://бир.рф/shop/221/desc/khmel-chinuk-chinook-ssha-100-g	11.5-15.3 %	3.4-3.7 %	28.0-35.0 %	1.0-2.5
85	hop	цитра / citra	barth haas group	сша	хмель в гранулах универсальный	beer.rf	500.0	г	2125.0	rub	цитра является поистине универсальным хмелем, которому присущи грейпфрутовый, лаймовый ароматы, ароматы личи, крыжовника. урожай 2025 г. | альфа-кислота: 13,6 % цитра является поистине универсальным хмелем, которому присущи грейпфрутовый, лаймовый ароматы, ароматы личи, крыжовника. урожай 2025 г. | альфа-кислота: 13,6 %	цитра (citra) - это сорт хмеля, который был выведен в 2008 году и быстро завоевал популярность благодаря своему интенсивному аромату и вкусу. он обладает высоким содержанием альфа-кислоты и отличается сильным, но приятным цветочным и цитрусовым ароматом. цитра хмель часто добавляют в пиво в конце кипячения или для сухого охмеления, чтобы придать ему насыщенный хмелевой вкус и сохранить солидный аромат в готовом напитке. этот сорт хмеля идеально подходит для американского и индийского пэйл эля, так как его интенсивный аромат и вкус прекрасно сочетаются с характером этих стилей пива. цитра является результатом скрещивания таких сортов хмеля, как халлертауер, американский теттнангер и ист кент голдинг, что в результате придало ему интенсивные цитрусовые нотки. цитра (citra) - это сорт хмеля, который был выведен в 2008 году и быстро завоевал популярность благодаря своему интенсивному аромату и вкусу. он обладает высоким содержанием альфа-кислоты и отличается сильным, но приятным цветочным и цитрусовым ароматом. цитра хмель часто добавляют в пиво в конце кипячения или для сухого охмеления, чтобы придать ему насыщенный хмелевой вкус и сохранить солидный аромат в готовом напитке. этот сорт хмеля идеально подходит для американского и индийского пэйл эля, так как его интенсивный аромат и вкус прекрасно сочетаются с характером этих стилей пива. цитра является результатом скрещивания таких сортов хмеля, как халлертауер, американский теттнангер и ист кент голдинг, что в результате придало ему интенсивные цитрусовые нотки. в последнее время цитра стал также символом рекламы в пивоваренной индустрии. многие пивоварни используют этот сорт хмеля для привлечения внимания потребителей, но это не всегда означает, что он является основным компонентом варки. некоторые пивоварни выбирают цитру из-за его качественных характеристик и способности придать пиву особый вкус и аромат, независимо от маркетинговых трендов. цитра является универсальным хмелем, который может придать пиву цитрусовые, грейпфрутовые, лаймовые ароматы с нотками личи и крыжовника. его высокое содержание альфа-кислоты делает его прекрасным выбором для тех, кто ищет сорт хмеля с интенсивным ароматом и вкусом. важно отметить, что цитра также обладает некоторыми агрономическими преимуществами. он устойчив к ложномучнистой росе и мучнистой плесени, что делает его популярным среди пивоваров. кроме того, этот сорт хмеля обладает хорошим выходом во время сбора урожая благодаря плотной конической шишки.	https://бир.рф/shop/178/desc/khmel-citra-citra-ssha-500-g	11.3-14.0 %	3.6-3.9 %	21.0-24.0 %	1.5-3.0
87	hop	цитра / citra	barth haas group	сша	хмель в гранулах универсальный	beer.rf	50.0	г	284.0	rub	цитра является поистине универсальным хмелем, которому присущи грейпфрутовый, лаймовый ароматы, ароматы личи, крыжовника. урожай 2025 г. | альфа-кислота: 13,6 % цитра является поистине универсальным хмелем, которому присущи грейпфрутовый, лаймовый ароматы, ароматы личи, крыжовника. урожай 2025 г. | альфа-кислота: 13,6 %	цитра (citra) - это сорт хмеля, который был выведен в 2008 году и быстро завоевал популярность благодаря своему интенсивному аромату и вкусу. он обладает высоким содержанием альфа-кислоты и отличается сильным, но приятным цветочным и цитрусовым ароматом. цитра хмель часто добавляют в пиво в конце кипячения или для сухого охмеления, чтобы придать ему насыщенный хмелевой вкус и сохранить солидный аромат в готовом напитке. этот сорт хмеля идеально подходит для американского и индийского пэйл эля, так как его интенсивный аромат и вкус прекрасно сочетаются с характером этих стилей пива. цитра является результатом скрещивания таких сортов хмеля, как халлертауер, американский теттнангер и ист кент голдинг, что в результате придало ему интенсивные цитрусовые нотки. цитра (citra) - это сорт хмеля, который был выведен в 2008 году и быстро завоевал популярность благодаря своему интенсивному аромату и вкусу. он обладает высоким содержанием альфа-кислоты и отличается сильным, но приятным цветочным и цитрусовым ароматом. цитра хмель часто добавляют в пиво в конце кипячения или для сухого охмеления, чтобы придать ему насыщенный хмелевой вкус и сохранить солидный аромат в готовом напитке. этот сорт хмеля идеально подходит для американского и индийского пэйл эля, так как его интенсивный аромат и вкус прекрасно сочетаются с характером этих стилей пива. цитра является результатом скрещивания таких сортов хмеля, как халлертауер, американский теттнангер и ист кент голдинг, что в результате придало ему интенсивные цитрусовые нотки. в последнее время цитра стал также символом рекламы в пивоваренной индустрии. многие пивоварни используют этот сорт хмеля для привлечения внимания потребителей, но это не всегда означает, что он является основным компонентом варки. некоторые пивоварни выбирают цитру из-за его качественных характеристик и способности придать пиву особый вкус и аромат, независимо от маркетинговых трендов. цитра является универсальным хмелем, который может придать пиву цитрусовые, грейпфрутовые, лаймовые ароматы с нотками личи и крыжовника. его высокое содержание альфа-кислоты делает его прекрасным выбором для тех, кто ищет сорт хмеля с интенсивным ароматом и вкусом. важно отметить, что цитра также обладает некоторыми агрономическими преимуществами. он устойчив к ложномучнистой росе и мучнистой плесени, что делает его популярным среди пивоваров. кроме того, этот сорт хмеля обладает хорошим выходом во время сбора урожая благодаря плотной конической шишки.	https://бир.рф/shop/180/desc/khmel-citra-citra-ssha-50-g	11.3-14.0 %	3.6-3.9 %	21.0-24.0 %	1.5-3.0
