	item_type	clean_name	brand	country	subtype	source_domain	weight	units	price	currency	description	full_description	url	color	extract	protein	share	kolbach	diastatic
0	malt	курский овсяный голозерный	курский солод	россия		grainrus	5.0	кг	619.0	rub	солод овсяный специальный российский, овсяный голозерный, курский солод, мешок 5 кг		https://malt.ru/catalog/solod/ovsyanyy-golozernyy-solod-5/	15.0 ebc					
1	malt	курский овсяный голозерный	курский солод	россия		grainrus	1.0	кг	140.0	rub	солод овсяный специальный российский, овсяный голозерный, курский солод, мешок 1 кг		https://malt.ru/catalog/solod/ovsyanyy-golozernyy-solod/	15.0 ebc					
2	malt	курский копченый на буке	ностерс			grainrus	25.0	кг	3251.0	rub	солод ячменный специальный российский, копченый, ностерс, мешок 25 кг		https://malt.ru/catalog/solod/solod-yachmennyy-spetsialnyy-rossiyskiy-kopchenyy-nosters-meshok-25-kg/	3.4-4.6 ebc					
3	malt	курский висковый	курский солод	россия		grainrus	25.0	кг	2996.0	rub	солод ячменный светлый российский, висковый, курский солод, мешок 25 кг		https://malt.ru/catalog/solod/solod-yachmennyy-svetlyy-rossiyskiy-viskovyy-kurskiy-solod-meshok-25-kg/	3.5-4.5 ebc					
4	malt	ячмень жженый 900	курский солод	россия	солод жженый > 500 ebc	beer.rf	1.0	кг	154.08	rub	используется для темных сортов пива, придает глубокий насыщенный темный цвет пиву, а также привносит в аромат нотки кофе, поджаренных орехов. цвет: 900 ebc используется для темных сортов пива, придает глубокий насыщенный темный цвет пиву, а также привносит в аромат нотки кофе, поджаренных орехов. цвет: 900 ebc	ячмень жженый 900 - используется для приготовления темных сортов пива, который придает возможность удивить насыщенным темным оттенком и уникальным ароматом. его применение позволяет напитку получить глубокий и насыщенный темный цвет, а также внести в гамму ароматов приятные ноты кофе и поджаренных орехов. не следует забывать, что его цвет составляет 900 ebc и он готовится с применением метода обжаривания при контролируемой температуре, не превышающей 220°с. благодаря этому процессу солод обретает насыщенный оттенок темного шоколада, который в дальнейшем придает неповторимый аромат пиву, напоминающий кофе с орехами. стоит также отметить, что данный вид солода находит применение в приготовлении различных темных, крепких и черных сортов пива, таких как портер, коричневый эль или стаут.	https://бир.рф/shop/1641/desc/jachmen-zhzhenyj-900-kurskij-solod-1-kg	900.0 ebc	70.0 %		5.0 %		
5	malt	курский пшеничный темный	курский солод	россия		grainrus	25.0	кг	2486.0	rub	солод пшеничный специальный российский, темный, курский солод, мешок 25 кг		https://malt.ru/catalog/solod/solod-pshenichnyy-spetsialnyy-rossiyskiy-temnyy-kurskiy-solod-meshok-25-kg/	400.0-1000.0 ebc					
6	malt	ячмень жженый / roasted barley	weyermann	германия	солод жженый > 500 ebc	beer.rf	0.25	кг	74.25	rub	несоложенное зерно ячменя имеет насыщенный жареный аромат. отлично подходит для стаутов и других темных сортов пива. цвет: 1000 - 1300 ebc несоложенное зерно ячменя имеет насыщенный жареный аромат. отлично подходит для стаутов и других темных сортов пива. цвет: 1000 - 1300 ebc	weyermann ® roasted barley произведен из качественного ярового ячменя. медленно и тщательно обжаривается в барабанном аппарате. в результате получается равномерно обжаренное специальное зерно. придает много темного цвета и чистую глубину аромата очень темным напиткам. аромат: типичный жареный аромат; ноты кофе и какао. стили пива: ирландский сухой стаут, имперский стаут, различные портеры и стауты.	https://бир.рф/shop/722/desc/jachmen-zhzhenyj-roasted-barley-weyermann-250-g	1093.2 ebc					
7	malt	курский висковый	курский солод	россия		grainrus	5.0	кг	687.0	rub	солод ячменный светлый российский, висковый, курский солод, мешок 5 кг		https://malt.ru/catalog/solod/solod-yachmennyy-svetlyy-rossiyskiy-viskovyy-kurskiy-solod-meshok-5-kg/	3.5-4.5 ebc					
8	malt	курский копченый на буке	ностерс			grainrus	5.0	кг	746.0	rub	солод ячменный специальный российский, копченый, ностерс, мешок 5 кг		https://malt.ru/catalog/solod/solod-yachmennyy-spetsialnyy-rossiyskiy-kopchenyy-nosters-meshok-5-kg/	3.4-4.6 ebc					
9	malt	шато дистиллинг / distilling	castle malting	бельгия	солод вискарный	beer.rf	5.0	кг	1165.5	rub	солод предназначен для производства виски и других крепких спиртных напитков премиального качества. дает высокую бродильную активность, соответствующую ферментативность и уровень растворимого азота. цвет: 2,5-4 ebc солод предназначен для производства виски и других крепких спиртных напитков премиального качества. дает высокую бродильную активность, соответствующую ферментативность и уровень растворимого азота. цвет: 2,5-4 ebc	"солод шато дистиллинг («дистилляционный») предназначен для создания премиальных виски и других крепких алкогольных напитков. он обладает высокой бродильной активностью, отвечающей требуемому уровню ферментации и растворимого азота. цвет солода составляет 2,5-4 ebc. в процессе его производства ячмень подвергается дополнительному замачиванию, чтобы достичь повышенной влажности зерна в диапазоне 44-46%. затем солод проращивается в течение пяти дней при температуре 12°c-16°c. после этого происходит обсушка при температуре 50°-60°c, с последующим повышением до 70°-75°c. свойства солода шато дистиллинг делают его идеальным базовым компонентом для создания виски высшего качества. он также может использоваться в качестве основы для приготовления браги с содержанием до 100%."""	https://бир.рф/shop/73/desc/solod-shato-distilling-distilling-castle-malting-5-kg	2.5-4.0 ebc	80.0 %			35.0-40.0	
